movieId,title,genres,description
1,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure|Action|Fantasy,"In this epic fantasy adventure, a humble hobbit is entrusted with an ancient ring that holds the key to destroying the dark powers of a malevolent lord. Join Frodo and his allies on a perilous journey to Mount Doom to prevent the ring from falling into evil hands."
2,Harry Potter and the Sorcerer's Stone (2001),Fantasy|Adventure|Children,"Discover the magical world of Hogwarts when young Harry Potter receives a letter that changes his life forever. With spells, potions, and flying brooms, join Harry and his friends as they uncover hidden truths and battle the dark forces in the wizarding world."
3,Pride and Prejudice (2005),Romance|Drama,"In this classic romance, the spirited Elizabeth Bennet meets the wealthy but aloof Mr. Darcy. Watch as misunderstandings and class considerations give way to true love in a society where marriage is a social necessity."
4,The Godfather (1972),Crime|Drama|Action,"Dive into the world of the Corleone mafia family, where loyalty and power are everything. Don Vito Corleone, the aging patriarch, passes control of his clandestine empire to his reluctant son with deadly consequences."
5,The Shining (1980),Horror|Thriller,"Isolation turns deadly as Jack Torrance, an aspiring writer and winter caretaker, descends into madness, terrorizing his young son and wife within the haunted corridors of an isolated hotel."
6,To Kill a Mockingbird (1962),Action|Drama|Crime,"In the midst of racial injustice, a young girl's world is forever changed when her father, a principled lawyer, defends a black man unjustly accused of a terrible crime in the Deep South during the 1930s."
7,The Hunger Games (2012),Action|Sci-Fi|Adventure,"In a dystopian future, Katniss Everdeen volunteers to replace her sister in the Hunger Games, a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
8,Forrest Gump(1994),Comedy|Drama|Romance,"Watch the heartwarming tale of Forrest Gump, a man with a low IQ who inadvertently influences several historical events through the 20th century in the United States, all while pining for his childhood love, Jenny."
9,The Great Gatsby (2013),Romance|Drama,"Experience the tragic story of Jay Gatsby, a wealthy and mysterious man who dreams of reuniting with his lost love, Daisy Buchanan, amidst the extravagance and excess of the Jazz Age."
10,Jurassic Park (1993),Sci-Fi|Adventure,"A thrilling adventure on a remote island where dinosaurs roam once again, thanks to revolutionary cloning technology. Chaos ensues when a power failure leads to a life-or-death struggle to escape the island's prehistoric inhabitants."
11,Fight Club (1999),Action|Drama|Thriller,"Delve into the mind-bending journey of a disillusioned young man who forms an underground fight club as radical psychotherapy, only to spiral out of control when the club grows into something far more insidious and anarchistic."
12,Dune (2021),Action|Sci-Fi,"In this epic sci-fi adventure, Paul Atreides must navigate a complex web of conflict and betrayal as he travels to the most dangerous planet in the universe to ensure the future of his family and people."
13,The Silence of the Lambs (1991),Crime|Horror,"An intense thriller where a young FBI trainee, Clarice Starling, seeks the advice of the imprisoned Dr. Hannibal Lecter to capture a serial killer known only as Buffalo Bill."
14,It (2017),Horror|Thriller,"In a small town, a group of children are terrorized by an entity that exploits the fears of its victims to disguise itself while hunting its prey, primarily appearing in the form of a sadistic clown called Pennywise."
15,The Devil Wears Prada (2006),Comedy|Drama,"A naive young woman lands a job as an assistant to one of the city's biggest magazine editors, the ruthless and cynical Miranda Priestly."
16,Bridget Jones's Diary (2001),Comedy|Romance,"A hilarious and heartfelt account of Bridget Jones's year of self-discovery, fighting her imperfections and romantic mishaps in this modern-day comedy."
17,Crazy Rich Asians (2018),Comedy|Romance,"Follow the story of Rachel Chu, who goes to Singapore to attend a wedding only to discover that her boyfriend is unimaginably wealthy, and she is on the verge of entering the lives of Asia's rich and famous."
18,Hitchhiker's Guide to the Galaxy (2005),Comedy|Sci-Fi,"Join Arthur Dent on an intergalactic adventure after Earth is demolished to make way for a galactic freeway, guided by a peculiar handbook called "The Hitchhiker's Guide to the Galaxy."
19,Paddington (2014),Comedy|Family|Adventure|Children,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
20,Dracula (1992),Horror|Romance,"A gothic romance where Count Dracula travels to England to seduce his barrister Jonathan Harker's fiancée and inflict havoc in the foreign land."
21,Pet Sematary (2019),Horror,"A chilling tale of a family that discovers a mysterious graveyard in the woods behind their new home, setting off a chain of events that unleashes an unspeakable evil."
22,The Exorcist (1973),Horror,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter through the rite of exorcism."
23,I Robot (2004),Sci-Fi|Action|Thriller,"Set in a future where robots are common assistants and workers for their human owners, the story follows a detective who investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
24,Blade Runner (1982),Sci-Fi|Thriller,"A dystopian future where a former police officer is tasked with hunting down sentient androids that have escaped into society, raising questions about what it means to be human."
25,"The Chronicles of Narnia",Fantasy|Children,"The Lion, the Witch and the Wardrobe (2005) - Four siblings enter the magical world of Narnia through a wardrobe and find themselves caught in a struggle between the noble lion Aslan and the evil White Witch."
26,Charlie and the Chocolate Factory (2005),Comedy|Action,"Follow young Charlie Bucket and four other children on a whimsical tour of Willy Wonka's mysterious chocolate factory, a place full of fantastical inventions and secrets."
27,Matilda (1996),Children|Fantasy|Comedy,"A bright young girl uses her wit, intelligence, and telekinetic powers to overcome her neglectful parents and oppressive school principal."
28,The BFG (The Big Friendly Giant) (2016),Children|Fantasy,"A young girl named Sophie encounters the Big Friendly Giant who, despite his intimidating appearance, turns out to be a kindhearted soul who is considered an outcast by the other giants because, unlike them, he refuses to eat children."
29,The Secret Garden (2020),Drama|Fantasy|Children,"An orphaned girl discovers a magical garden hidden at her strict uncle's estate and becomes determined to revive the beauty that once flourished."